,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
0,Aarnes,Gudmestad,Virginia Polytechnic Institute and State University,Assistant Professor,Aarnes E. Gudmestad,Aarnes Gudmestad,,Y,ASSOC,F,,,Modern and Classical Languages and Literatures,https://liberalarts.vt.edu/departments-and-schools/department-of-modern-and-classical-languages-and-literatures/faculty/aarnes-gudmestad.html,,Indiana University,,Indiana University,,Concordia College,,,,,['AUTHOR_ID:36514494000']
1,Abby,Walker,Virginia Polytechnic Institute and State University,Assistant Professor,Abby J. Walker,Abby Walker,2014,Y,ASST,F,,,English,https://liberalarts.vt.edu/departments-and-schools/department-of-english/faculty/abby-walker.html,https://drive.google.com/file/d/1_2Oi9d-efxaWBRtyIVQ_HIJNLzzZbAsH/preview,The Ohio State University,2014,"University of Canterbury, New Zealand",2008,"University of Canterbury, New Zealand",2005,,,,['AUTHOR_ID:56565920100']
2,Abby,Whittington,Virginia Polytechnic Institute and State University,Assistant Professor,Abby R. Whittington,Abby Whittington,2008,Y,ASST,F,,,Chemical Engineering,https://www.linkedin.com/in/abby-whittington-6335007/,,University of Illinois at Urbana-Champaigne ,2006,.,,Auburn University,2000,,"NRC Postdoc, NIST, 2006-2008",,['AUTHOR_ID:44061994100']
3,Abiola,Akanmu,Virginia Polytechnic Institute and State University,Assistant Professor,Abiola Akanmu,Abiola Akanmu,2017,Y,ASST,F,,,Myers-Lawson School of Construction,https://www.linkedin.com/in/abiola-akanmu-3b628a15/,,Penn State University,2008-2011,Bayero University Kano,2000-2004,Bayero University Kano,1994-1999,Western Michigan University 2012-2017,,,['AUTHOR_ID:36459551100']
4,Achla,Marathe,Virginia Polytechnic Institute and State University,Associate Professor,Achla Marathe,Achla Marathe,2018,Y,PROF,F,,,Biocomplexicty institute and initiative ,https://www.linkedin.com/in/achla-marathe-0b959b7/,,SUNY Albany,1994,SUNY Albany,1990,,,,Los Alamos National Lab. 1988-1994,,['AUTHOR_ID:7003292862']
5,Adrienne,Edisis,Virginia Polytechnic Institute and State University,Assistant Professor,Adrienne Edisis,Adrienne Edisis,2015,Y,ASST,F,,,Center for Public Administration and Policy,,https://www.linkedin.com/in/adrienne-edisis-ph-d-023266b1/,George Washington University,2015,Harvard University,1993,Amherst College,1988,,,,['AUTHOR_ID:57191752107']
6,Adrienne,Ivory,Virginia Polytechnic Institute and State University,Assistant Professor,Adrienne H. Ivory,Adrienne Ivory,,Y,ASST,F,,,Communication,https://liberalarts.vt.edu/departments-and-schools/department-of-communication/faculty/adrienne-ivory.html,,Virginia Tech,,Virginia Tech,,University of North Carolina at Chapel Hill,,,,,"['AUTHOR_ID:55115192000', 'AUTHOR_ID:30467731500']"
7,Aikaterini,Ziotopoulou,Virginia Polytechnic Institute and State University,Assistant Professor,Aikaterini Ziotopoulou,Aikaterini Ziotopoulou,2016,N,ASST,F,,University of California Davis,Civil and Environmental Engineering,linkedin.com/in/katerina-ziotopoulou-100816a/,https://orcid.org/0000-0001-5494-497X,"The University of California, Davis",2010-2014,"The University of California, Davis",2008-2010,National Technical University of Athens,2002-2007,"Assistant Professor, Virginia Tech, 2014-2016;",,,['AUTHOR_ID:55831948400']
8,Aisling,Kelliher,Virginia Polytechnic Institute and State University,Associate Professor,Aisling Kelliher,Aisling Kelliher,2015,Y,ASSOC,F,,,Computer Science,http://people.cs.vt.edu/~aislingk/bio.html,,Massachusetts Institute of Technology,2007,"Trinity College, Dublin, Ireland; Massachusetts Institute of Technology",1998;2001,Dublin City University,1996,"Assistant Professor, Arizona State University, 2006 - 2012; Associate Professor, Carnegie Melon University 2012 - 2015",,,['AUTHOR_ID:23397254400']
9,Aki,Ishida,Virginia Polytechnic Institute and State University,Assistant Professor,Aki Ishida,Aki Ishida,2012,Y,ASSOC,F,,,Architecture and Design,https://www.linkedin.com/in/akiishida/,,.,,Columbia University,1997-1998,"University of Minnisota , Twin-Cities",1988-1994,,,,
10,Alba,Colom,Virginia Polytechnic Institute and State University,Assistant Professor,Alba Yerro Colom,Alba Colom,2017,Y,ASST,F,,,Civil and Environmental Engineering,https://www.linkedin.com/in/alba-yerro-colom-30979680/,,Universitat Politècnica de Catalunya in Spain,2015,,,,,,"University of Cambridge, 2015-2017 ",,
11,Aleksandra,Graff,Virginia Polytechnic Institute and State University,Assistant Professor,Aleksandra Markovic Graff,Aleksandra Graff,,Y,ASST,F,,,Building Construction,https://www.bc.vt.edu/people/graff,,,,Ohio University,,University of Wisconsin-Madison,,,,,
12,Alexandrina,Untaroiu,Virginia Polytechnic Institute and State University,Assistant Professor,Alexandrina Untaroiu,Alexandrina Untaroiu,2015,Y,ASST,F,,,Mechanical Engineering ,http://www.me.vt.edu/people/faculty/alexandrina-untaroiu/,,University of Virginia,2006,University of Virginia,2004,"Polytechnic University of Bucharest, Romania ",,,,,['AUTHOR_ID:8241382700']
13,Alice,Wattam,Virginia Polytechnic Institute and State University,Research Assistant Professor,Alice R. Wattam,Alice Wattam,2018,N,RS ASSOC,F,,University of Virginia,Biocomplexicty institute and initiative ,https://www.linkedin.com/in/rebecca-wattam-96a85a18/; https://data.richmond.com/salaries/search?q=Alice+Wattam; https://loop.frontiersin.org/people/424017/bio,,,,,,,,Virginia Tech 2014-2018,Virginia Tech 2012-2014;,,['AUTHOR_ID:6602648148']
14,Alicia,Johnson,Virginia Polytechnic Institute and State University,Assistant Professor,Alicia Johnson,Alicia Johnson,2016,Y,VIS ASST PROF,F,,,Industrial Design and Technology,,https://drive.google.com/file/d/1k6LXzwvCCD-hJCW-LvIIKRaclY-EJz61/preview,Virginia Tech,2017,Wilkes University,2012,Mary Washington College,2002,,,,['AUTHOR_ID:57218388569']
15,Alicia,Pickrell,Virginia Polytechnic Institute and State University,Assistant Professor,Alicia Pickrell,Alicia Pickrell,2017,Y,ASST,F,,,Neuroscience,https://www.linkedin.com/in/alicia-pickrell-7836788/,,University of Miami,2012,,,University of Pittsburgh,2007,,"National Institute of Health, 2013-2017",,['AUTHOR_ID:24482104800']
